,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2018-10,142.0,18.8671875,1656.0,yWSou5tPiPs,1656.0,10,2018,yWSou5tPiPs,142.0,18.8671875
1,2018-11,143.0,18.140625,1360.0,yWSou5tPiPs,1360.0,11,2018,yWSou5tPiPs,143.0,18.140625
2,2018-12,131.0,18.529296875,1600.0,yWSou5tPiPs,1600.0,12,2018,yWSou5tPiPs,131.0,18.529296875
0,2018-10,160.0,20.046875,1560.0,MnK7wTQx9wc,1560.0,10,2018,MnK7wTQx9wc,160.0,20.046875
1,2018-11,164.0,19.2265625,1456.0,MnK7wTQx9wc,1456.0,11,2018,MnK7wTQx9wc,164.0,19.2265625
2,2018-12,112.0,19.6484375,1340.0,MnK7wTQx9wc,1340.0,12,2018,MnK7wTQx9wc,112.0,19.6484375
0,2018-10,209.0,17.859375,1672.0,DTxwpZ1iTSq,1672.0,10,2018,DTxwpZ1iTSq,209.0,17.859375
1,2018-11,230.0,17.1875,1776.0,DTxwpZ1iTSq,1776.0,11,2018,DTxwpZ1iTSq,230.0,17.1875
2,2018-12,185.0,17.5625,1528.0,DTxwpZ1iTSq,1528.0,12,2018,DTxwpZ1iTSq,185.0,17.5625
0,2018-10,275.0,17.767578125,1376.0,cg6QcrrDhW7,1376.0,10,2018,cg6QcrrDhW7,275.0,17.767578125
1,2018-11,310.0,17.267578125,1296.0,cg6QcrrDhW7,1296.0,11,2018,cg6QcrrDhW7,310.0,17.267578125
2,2018-12,313.0,17.458984375,1520.0,cg6QcrrDhW7,1520.0,12,2018,cg6QcrrDhW7,313.0,17.458984375
0,2018-10,115.0,21.1015625,1344.0,LGNjeakKI1q,1344.0,10,2018,LGNjeakKI1q,115.0,21.1015625
1,2018-11,128.0,20.3125,1444.0,LGNjeakKI1q,1444.0,11,2018,LGNjeakKI1q,128.0,20.3125
2,2018-12,87.0,20.671875,1496.0,LGNjeakKI1q,1496.0,12,2018,LGNjeakKI1q,87.0,20.671875
