"","X","time_period","rainfall","mean_temperature","disease_cases","population","location","Cases","E","T1","ID_year","ID_spat","rainsum","meantemperature","month"
"1",0,"2023-04",27,27,NA,533475,"O6uvpzGd5pu",NA,200000,17,2023,"O6uvpzGd5pu",27,27,4
"2",1,"2023-05",26.5,26.5,116,533475,"O6uvpzGd5pu",116,200000,22,2023,"O6uvpzGd5pu",26.5,26.5,5
"3",2,"2023-06",24.9,24.9,139,533475,"O6uvpzGd5pu",139,200000,26,2023,"O6uvpzGd5pu",24.9,24.9,6
"4",3,"2023-07",24.6,24.6,168,533475,"O6uvpzGd5pu",168,200000,31,2023,"O6uvpzGd5pu",24.6,24.6,7
"5",4,"2023-08",24.5,24.5,71,533475,"O6uvpzGd5pu",71,200000,35,2023,"O6uvpzGd5pu",24.5,24.5,8
"6",5,"2023-09",24.7,24.7,141,533475,"O6uvpzGd5pu",141,200000,39,2023,"O6uvpzGd5pu",24.7,24.7,9
"7",6,"2023-10",25.1,25.1,94,533475,"O6uvpzGd5pu",94,200000,44,2023,"O6uvpzGd5pu",25.1,25.1,10
"8",7,"2023-11",25.6,25.6,188,533475,"O6uvpzGd5pu",188,200000,48,2023,"O6uvpzGd5pu",25.6,25.6,11
"9",8,"2023-12",26.1,26.1,93,533475,"O6uvpzGd5pu",93,200000,52,2023,"O6uvpzGd5pu",26.1,26.1,12
"10",9,"2024-01",27.8,27.8,NA,533475,"O6uvpzGd5pu",NA,200000,5,2024,"O6uvpzGd5pu",27.8,27.8,1
"11",10,"2024-02",29.2,29.2,NA,533475,"O6uvpzGd5pu",NA,200000,9,2024,"O6uvpzGd5pu",29.2,29.2,2
"12",11,"2024-03",29.1,29.1,NA,533475,"O6uvpzGd5pu",NA,200000,13,2024,"O6uvpzGd5pu",29.1,29.1,3
"13",0,"2023-04",28.8,28.8,NA,316478,"PMa2VCrupOd",NA,200000,17,2023,"PMa2VCrupOd",28.8,28.8,4
"14",1,"2023-05",28.1,28.1,83,316478,"PMa2VCrupOd",83,200000,22,2023,"PMa2VCrupOd",28.1,28.1,5
"15",2,"2023-06",26.1,26.1,123,316478,"PMa2VCrupOd",123,200000,26,2023,"PMa2VCrupOd",26.1,26.1,6
"16",3,"2023-07",25.5,25.5,103,316478,"PMa2VCrupOd",103,200000,31,2023,"PMa2VCrupOd",25.5,25.5,7
"17",4,"2023-08",25.3,25.3,41,316478,"PMa2VCrupOd",41,200000,35,2023,"PMa2VCrupOd",25.3,25.3,8
"18",5,"2023-09",25.7,25.7,92,316478,"PMa2VCrupOd",92,200000,39,2023,"PMa2VCrupOd",25.7,25.7,9
"19",6,"2023-10",26.2,26.2,63,316478,"PMa2VCrupOd",63,200000,44,2023,"PMa2VCrupOd",26.2,26.2,10
"20",7,"2023-11",26.9,26.9,110,316478,"PMa2VCrupOd",110,200000,48,2023,"PMa2VCrupOd",26.9,26.9,11
"21",8,"2023-12",27.1,27.1,59,316478,"PMa2VCrupOd",59,200000,52,2023,"PMa2VCrupOd",27.1,27.1,12
"22",9,"2024-01",28.4,28.4,NA,316478,"PMa2VCrupOd",NA,200000,5,2024,"PMa2VCrupOd",28.4,28.4,1
"23",10,"2024-02",29.2,29.2,NA,316478,"PMa2VCrupOd",NA,200000,9,2024,"PMa2VCrupOd",29.2,29.2,2
"24",11,"2024-03",29.7,29.7,NA,316478,"PMa2VCrupOd",NA,200000,13,2024,"PMa2VCrupOd",29.7,29.7,3
"25",0,"2023-04",28.2,28.2,NA,541483.5,"TEQlaapDQoK",NA,200000,17,2023,"TEQlaapDQoK",28.2,28.2,4
"26",1,"2023-05",27.5,27.5,68,541483.5,"TEQlaapDQoK",68,200000,22,2023,"TEQlaapDQoK",27.5,27.5,5
"27",2,"2023-06",25.8,25.8,124,541483.5,"TEQlaapDQoK",124,200000,26,2023,"TEQlaapDQoK",25.8,25.8,6
"28",3,"2023-07",25.3,25.3,111,541483.5,"TEQlaapDQoK",111,200000,31,2023,"TEQlaapDQoK",25.3,25.3,7
"29",4,"2023-08",25.1,25.1,46,541483.5,"TEQlaapDQoK",46,200000,35,2023,"TEQlaapDQoK",25.1,25.1,8
"30",5,"2023-09",25.6,25.6,95,541483.5,"TEQlaapDQoK",95,200000,39,2023,"TEQlaapDQoK",25.6,25.6,9
"31",6,"2023-10",25.9,25.9,73,541483.5,"TEQlaapDQoK",73,200000,44,2023,"TEQlaapDQoK",25.9,25.9,10
"32",7,"2023-11",26.5,26.5,125,541483.5,"TEQlaapDQoK",125,200000,48,2023,"TEQlaapDQoK",26.5,26.5,11
"33",8,"2023-12",27,27,52,541483.5,"TEQlaapDQoK",52,200000,52,2023,"TEQlaapDQoK",27,27,12
"34",9,"2024-01",28.2,28.2,NA,541483.5,"TEQlaapDQoK",NA,200000,5,2024,"TEQlaapDQoK",28.2,28.2,1
"35",10,"2024-02",28.9,28.9,NA,541483.5,"TEQlaapDQoK",NA,200000,9,2024,"TEQlaapDQoK",28.9,28.9,2
"36",11,"2024-03",29.3,29.3,NA,541483.5,"TEQlaapDQoK",NA,200000,13,2024,"TEQlaapDQoK",29.3,29.3,3
"37",0,"2023-04",26.8,26.8,NA,397428.2,"Vth0fbpFcsO",NA,200000,17,2023,"Vth0fbpFcsO",26.8,26.8,4
"38",1,"2023-05",26,26,57,397428.2,"Vth0fbpFcsO",57,200000,22,2023,"Vth0fbpFcsO",26,26,5
"39",2,"2023-06",24.3,24.3,94,397428.2,"Vth0fbpFcsO",94,200000,26,2023,"Vth0fbpFcsO",24.3,24.3,6
"40",3,"2023-07",23.9,23.9,131,397428.2,"Vth0fbpFcsO",131,200000,31,2023,"Vth0fbpFcsO",23.9,23.9,7
"41",4,"2023-08",23.6,23.6,41,397428.2,"Vth0fbpFcsO",41,200000,35,2023,"Vth0fbpFcsO",23.6,23.6,8
"42",5,"2023-09",24,24,79,397428.2,"Vth0fbpFcsO",79,200000,39,2023,"Vth0fbpFcsO",24,24,9
"43",6,"2023-10",24.5,24.5,53,397428.2,"Vth0fbpFcsO",53,200000,44,2023,"Vth0fbpFcsO",24.5,24.5,10
"44",7,"2023-11",24.7,24.7,108,397428.2,"Vth0fbpFcsO",108,200000,48,2023,"Vth0fbpFcsO",24.7,24.7,11
"45",8,"2023-12",24.8,24.8,53,397428.2,"Vth0fbpFcsO",53,200000,52,2023,"Vth0fbpFcsO",24.8,24.8,12
"46",9,"2024-01",27.1,27.1,NA,397428.2,"Vth0fbpFcsO",NA,200000,5,2024,"Vth0fbpFcsO",27.1,27.1,1
"47",10,"2024-02",28.9,28.9,NA,397428.2,"Vth0fbpFcsO",NA,200000,9,2024,"Vth0fbpFcsO",28.9,28.9,2
"48",11,"2024-03",29.7,29.7,NA,397428.2,"Vth0fbpFcsO",NA,200000,13,2024,"Vth0fbpFcsO",29.7,29.7,3
"49",0,"2023-04",27.6,27.6,NA,910939.3,"at6UHUQatSo",NA,200000,17,2023,"at6UHUQatSo",27.6,27.6,4
"50",1,"2023-05",27.4,27.4,124,910939.3,"at6UHUQatSo",124,200000,22,2023,"at6UHUQatSo",27.4,27.4,5
"51",2,"2023-06",25.9,25.9,185,910939.3,"at6UHUQatSo",185,200000,26,2023,"at6UHUQatSo",25.9,25.9,6
"52",3,"2023-07",25.3,25.3,191,910939.3,"at6UHUQatSo",191,200000,31,2023,"at6UHUQatSo",25.3,25.3,7
"53",4,"2023-08",25.3,25.3,88,910939.3,"at6UHUQatSo",88,200000,35,2023,"at6UHUQatSo",25.3,25.3,8
"54",5,"2023-09",25.7,25.7,146,910939.3,"at6UHUQatSo",146,200000,39,2023,"at6UHUQatSo",25.7,25.7,9
"55",6,"2023-10",26.1,26.1,94,910939.3,"at6UHUQatSo",94,200000,44,2023,"at6UHUQatSo",26.1,26.1,10
"56",7,"2023-11",26.7,26.7,160,910939.3,"at6UHUQatSo",160,200000,48,2023,"at6UHUQatSo",26.7,26.7,11
"57",8,"2023-12",27.1,27.1,105,910939.3,"at6UHUQatSo",105,200000,52,2023,"at6UHUQatSo",27.1,27.1,12
"58",9,"2024-01",27.7,27.7,NA,910939.3,"at6UHUQatSo",NA,200000,5,2024,"at6UHUQatSo",27.7,27.7,1
"59",10,"2024-02",28,28,NA,910939.3,"at6UHUQatSo",NA,200000,9,2024,"at6UHUQatSo",28,28,2
"60",11,"2024-03",27.9,27.9,NA,910939.3,"at6UHUQatSo",NA,200000,13,2024,"at6UHUQatSo",27.9,27.9,3
"61",0,"2023-04",26.9,26.9,NA,273590,"bL4ooGhyHRQ",NA,200000,17,2023,"bL4ooGhyHRQ",26.9,26.9,4
"62",1,"2023-05",26.5,26.5,52,273590,"bL4ooGhyHRQ",52,200000,22,2023,"bL4ooGhyHRQ",26.5,26.5,5
"63",2,"2023-06",25.1,25.1,98,273590,"bL4ooGhyHRQ",98,200000,26,2023,"bL4ooGhyHRQ",25.1,25.1,6
"64",3,"2023-07",24.8,24.8,98,273590,"bL4ooGhyHRQ",98,200000,31,2023,"bL4ooGhyHRQ",24.8,24.8,7
"65",4,"2023-08",24.8,24.8,31,273590,"bL4ooGhyHRQ",31,200000,35,2023,"bL4ooGhyHRQ",24.8,24.8,8
"66",5,"2023-09",24.9,24.9,87,273590,"bL4ooGhyHRQ",87,200000,39,2023,"bL4ooGhyHRQ",24.9,24.9,9
"67",6,"2023-10",25.3,25.3,49,273590,"bL4ooGhyHRQ",49,200000,44,2023,"bL4ooGhyHRQ",25.3,25.3,10
"68",7,"2023-11",25.8,25.8,126,273590,"bL4ooGhyHRQ",126,200000,48,2023,"bL4ooGhyHRQ",25.8,25.8,11
"69",8,"2023-12",26.5,26.5,38,273590,"bL4ooGhyHRQ",38,200000,52,2023,"bL4ooGhyHRQ",26.5,26.5,12
"70",9,"2024-01",27.5,27.5,NA,273590,"bL4ooGhyHRQ",NA,200000,5,2024,"bL4ooGhyHRQ",27.5,27.5,1
"71",10,"2024-02",28.5,28.5,NA,273590,"bL4ooGhyHRQ",NA,200000,9,2024,"bL4ooGhyHRQ",28.5,28.5,2
"72",11,"2024-03",28.4,28.4,NA,273590,"bL4ooGhyHRQ",NA,200000,13,2024,"bL4ooGhyHRQ",28.4,28.4,3
"73",0,"2023-04",27.4,27.4,NA,409117.1,"eIQbndfxQMb",NA,200000,17,2023,"eIQbndfxQMb",27.4,27.4,4
"74",1,"2023-05",26.5,26.5,88,409117.1,"eIQbndfxQMb",88,200000,22,2023,"eIQbndfxQMb",26.5,26.5,5
"75",2,"2023-06",24.8,24.8,175,409117.1,"eIQbndfxQMb",175,200000,26,2023,"eIQbndfxQMb",24.8,24.8,6
"76",3,"2023-07",24.5,24.5,160,409117.1,"eIQbndfxQMb",160,200000,31,2023,"eIQbndfxQMb",24.5,24.5,7
"77",4,"2023-08",24.3,24.3,64,409117.1,"eIQbndfxQMb",64,200000,35,2023,"eIQbndfxQMb",24.3,24.3,8
